data,material,ponto,x,z,contagem,tempo(s)

2022-08-02,vazio,0,0,0.5,3993,0.0
2022-08-02,vazio,1,0,0.5,3979,20.0
2022-08-02,vazio,2,0,0.5,4117,40.0
2022-08-02,vazio,3,0,0.5,4006,60.0
2022-08-02,vazio,4,0,0.5,3585,80.0
2022-08-02,vazio,5,0,0.5,3595,100.0
2022-08-02,vazio,6,0,0.5,3670,120.0
2022-08-02,vazio,7,0,0.5,3585,140.0
2022-08-02,vazio,8,0,0.5,3585,160.0
2022-08-02,vazio,9,0,0.5,3592,180.0
